Year,Сomponent of the index,Region,Age,Gender,Value
2022,psycho-social adaptability,Donetsk,,men,
2023,psycho-social adaptability,Donetsk,,men,
2017,psycho-social adaptability,Donetsk,,women,7.9
2018,psycho-social adaptability,Donetsk,,women,
2019,psycho-social adaptability,Donetsk,,women,
2020,psycho-social adaptability,Donetsk,,women,
2021,psycho-social adaptability,Donetsk,,women,
2022,psycho-social adaptability,Donetsk,,women,
2023,psycho-social adaptability,Donetsk,,women,
2017,psycho-social adaptability,Luhansk,,,
2018,psycho-social adaptability,Luhansk,,,
2019,psycho-social adaptability,Luhansk,,,
2020,psycho-social adaptability,Luhansk,,,
2021,psycho-social adaptability,Luhansk,,,
2022,psycho-social adaptability,Luhansk,,,
2023,psycho-social adaptability,Luhansk,,,
2017,psycho-social adaptability,Luhansk,18-35 years,,7.9
2018,psycho-social adaptability,Luhansk,18-35 years,,
2019,psycho-social adaptability,Luhansk,18-35 years,,
2020,psycho-social adaptability,Luhansk,18-35 years,,
2021,psycho-social adaptability,Luhansk,18-35 years,,
2022,psycho-social adaptability,Luhansk,18-35 years,,
2023,psycho-social adaptability,Luhansk,18-35 years,,
2017,psycho-social adaptability,Luhansk,36-60 years,,7.9
2018,psycho-social adaptability,Luhansk,36-60 years,,
2019,psycho-social adaptability,Luhansk,36-60 years,,
2020,psycho-social adaptability,Luhansk,36-60 years,,
2021,psycho-social adaptability,Luhansk,36-59 years,,
2022,psycho-social adaptability,Luhansk,36-59 years,,
2023,psycho-social adaptability,Luhansk,36-59 years,,
2017,psycho-social adaptability,Luhansk,61 years and older,,7.8
2018,psycho-social adaptability,Luhansk,61 years and older,,
2019,psycho-social adaptability,Luhansk,61 years and older,,
2020,psycho-social adaptability,Luhansk,61 years and older,,
2021,psycho-social adaptability,Luhansk,60 years and older,,
2022,psycho-social adaptability,Luhansk,60 years and older,,
2023,psycho-social adaptability,Luhansk,60 years and older,,
2017,psycho-social adaptability,Luhansk,,men,7.8
2018,psycho-social adaptability,Luhansk,,men,
2019,psycho-social adaptability,Luhansk,,men,
2020,psycho-social adaptability,Luhansk,,men,
2021,psycho-social adaptability,Luhansk,,men,
2022,psycho-social adaptability,Luhansk,,men,
2023,psycho-social adaptability,Luhansk,,men,
2017,psycho-social adaptability,Luhansk,,women,7.9
2018,psycho-social adaptability,Luhansk,,women,
2019,psycho-social adaptability,Luhansk,,women,
2020,psycho-social adaptability,Luhansk,,women,
2021,psycho-social adaptability,Luhansk,,women,
2022,psycho-social adaptability,Luhansk,,women,
2023,psycho-social adaptability,Luhansk,,women,
2017,psycho-social adaptability,Dnipropetrovsk,,,
2018,psycho-social adaptability,Dnipropetrovsk,,,
2019,psycho-social adaptability,Dnipropetrovsk,,,
2020,psycho-social adaptability,Dnipropetrovsk,,,
2021,psycho-social adaptability,Dnipropetrovsk,,,
2022,psycho-social adaptability,Dnipropetrovsk,,,
2023,psycho-social adaptability,Dnipropetrovsk,,,
2017,psycho-social adaptability,Dnipropetrovsk,18-35 years,,7.7
2018,psycho-social adaptability,Dnipropetrovsk,18-35 years,,
2019,psycho-social adaptability,Dnipropetrovsk,18-35 years,,
2020,psycho-social adaptability,Dnipropetrovsk,18-35 years,,
2021,psycho-social adaptability,Dnipropetrovsk,18-35 years,,
2022,psycho-social adaptability,Dnipropetrovsk,18-35 years,,
2023,psycho-social adaptability,Dnipropetrovsk,18-35 years,,
2017,psycho-social adaptability,Dnipropetrovsk,36-60 years,,7.7
2018,psycho-social adaptability,Dnipropetrovsk,36-60 years,,
2019,psycho-social adaptability,Dnipropetrovsk,36-60 years,,
2020,psycho-social adaptability,Dnipropetrovsk,36-60 years,,
2021,psycho-social adaptability,Dnipropetrovsk,36-59 years,,
2022,psycho-social adaptability,Dnipropetrovsk,36-59 years,,
2023,psycho-social adaptability,Dnipropetrovsk,36-59 years,,
2017,psycho-social adaptability,Dnipropetrovsk,61 years and older,,7.7
2018,psycho-social adaptability,Dnipropetrovsk,61 years and older,,
2019,psycho-social adaptability,Dnipropetrovsk,61 years and older,,
2020,psycho-social adaptability,Dnipropetrovsk,61 years and older,,
2021,psycho-social adaptability,Dnipropetrovsk,60 years and older,,
2022,psycho-social adaptability,Dnipropetrovsk,60 years and older,,
2023,psycho-social adaptability,Dnipropetrovsk,60 years and older,,
2017,psycho-social adaptability,Dnipropetrovsk,,men,7.6
2018,psycho-social adaptability,Dnipropetrovsk,,men,
2019,psycho-social adaptability,Dnipropetrovsk,,men,
2020,psycho-social adaptability,Dnipropetrovsk,,men,
2021,psycho-social adaptability,Dnipropetrovsk,,men,
2022,psycho-social adaptability,Dnipropetrovsk,,men,
2023,psycho-social adaptability,Dnipropetrovsk,,men,
2017,psycho-social adaptability,Dnipropetrovsk,,women,7.7
2018,psycho-social adaptability,Dnipropetrovsk,,women,
2019,psycho-social adaptability,Dnipropetrovsk,,women,
2020,psycho-social adaptability,Dnipropetrovsk,,women,
2021,psycho-social adaptability,Dnipropetrovsk,,women,
2022,psycho-social adaptability,Dnipropetrovsk,,women,
2023,psycho-social adaptability,Dnipropetrovsk,,women,
2017,psycho-social adaptability,Zaporizhzhya,,,
2018,psycho-social adaptability,Zaporizhzhya,,,
2019,psycho-social adaptability,Zaporizhzhya,,,
2020,psycho-social adaptability,Zaporizhzhya,,,
2021,psycho-social adaptability,Zaporizhzhya,,,
2022,psycho-social adaptability,Zaporizhzhya,,,
2023,psycho-social adaptability,Zaporizhzhya,,,
2017,psycho-social adaptability,Zaporizhzhya,18-35 years,,7.8
2018,psycho-social adaptability,Zaporizhzhya,18-35 years,,
2019,psycho-social adaptability,Zaporizhzhya,18-35 years,,
2020,psycho-social adaptability,Zaporizhzhya,18-35 years,,
2021,psycho-social adaptability,Zaporizhzhya,18-35 years,,
2022,psycho-social adaptability,Zaporizhzhya,18-35 years,,
2023,psycho-social adaptability,Zaporizhzhya,18-35 years,,
2017,psycho-social adaptability,Zaporizhzhya,36-60 years,,7.8
2018,psycho-social adaptability,Zaporizhzhya,36-60 years,,
2019,psycho-social adaptability,Zaporizhzhya,36-60 years,,
2020,psycho-social adaptability,Zaporizhzhya,36-60 years,,
2021,psycho-social adaptability,Zaporizhzhya,36-59 years,,
2022,psycho-social adaptability,Zaporizhzhya,36-59 years,,
2023,psycho-social adaptability,Zaporizhzhya,36-59 years,,
2017,psycho-social adaptability,Zaporizhzhya,61 years and older,,7.8
2018,psycho-social adaptability,Zaporizhzhya,61 years and older,,
2019,psycho-social adaptability,Zaporizhzhya,61 years and older,,
2020,psycho-social adaptability,Zaporizhzhya,61 years and older,,
2021,psycho-social adaptability,Zaporizhzhya,60 years and older,,
2022,psycho-social adaptability,Zaporizhzhya,60 years and older,,
2023,psycho-social adaptability,Zaporizhzhya,60 years and older,,
2017,psycho-social adaptability,Zaporizhzhya,,men,7.6
2018,psycho-social adaptability,Zaporizhzhya,,men,
2019,psycho-social adaptability,Zaporizhzhya,,men,
2020,psycho-social adaptability,Zaporizhzhya,,men,
2021,psycho-social adaptability,Zaporizhzhya,,men,
2022,psycho-social adaptability,Zaporizhzhya,,men,
2023,psycho-social adaptability,Zaporizhzhya,,men,
2017,psycho-social adaptability,Zaporizhzhya,,women,8.0
2018,psycho-social adaptability,Zaporizhzhya,,women,
2019,psycho-social adaptability,Zaporizhzhya,,women,
2020,psycho-social adaptability,Zaporizhzhya,,women,
2021,psycho-social adaptability,Zaporizhzhya,,women,
2022,psycho-social adaptability,Zaporizhzhya,,women,
2023,psycho-social adaptability,Zaporizhzhya,,women,
2017,psycho-social adaptability,Kharkiv,,,
2018,psycho-social adaptability,Kharkiv,,,
2019,psycho-social adaptability,Kharkiv,,,
2020,psycho-social adaptability,Kharkiv,,,
2021,psycho-social adaptability,Kharkiv,,,
2022,psycho-social adaptability,Kharkiv,,,
2023,psycho-social adaptability,Kharkiv,,,
2017,psycho-social adaptability,Kharkiv,18-35 years,,7.7
2018,psycho-social adaptability,Kharkiv,18-35 years,,
2019,psycho-social adaptability,Kharkiv,18-35 years,,
2020,psycho-social adaptability,Kharkiv,18-35 years,,
2021,psycho-social adaptability,Kharkiv,18-35 years,,
2022,psycho-social adaptability,Kharkiv,18-35 years,,
2023,psycho-social adaptability,Kharkiv,18-35 years,,
2017,psycho-social adaptability,Kharkiv,36-60 years,,7.8
2018,psycho-social adaptability,Kharkiv,36-60 years,,
2019,psycho-social adaptability,Kharkiv,36-60 years,,
2020,psycho-social adaptability,Kharkiv,36-60 years,,
2021,psycho-social adaptability,Kharkiv,36-59 years,,
2022,psycho-social adaptability,Kharkiv,36-59 years,,
2023,psycho-social adaptability,Kharkiv,36-59 years,,
2017,psycho-social adaptability,Kharkiv,61 years and older,,7.8
2018,psycho-social adaptability,Kharkiv,61 years and older,,
2019,psycho-social adaptability,Kharkiv,61 years and older,,
2020,psycho-social adaptability,Kharkiv,61 years and older,,
2021,psycho-social adaptability,Kharkiv,60 years and older,,
2022,psycho-social adaptability,Kharkiv,60 years and older,,
2023,psycho-social adaptability,Kharkiv,60 years and older,,
2017,psycho-social adaptability,Kharkiv,,men,7.6
2018,psycho-social adaptability,Kharkiv,,men,
2019,psycho-social adaptability,Kharkiv,,men,
2020,psycho-social adaptability,Kharkiv,,men,
2021,psycho-social adaptability,Kharkiv,,men,
2022,psycho-social adaptability,Kharkiv,,men,
2023,psycho-social adaptability,Kharkiv,,men,
2017,psycho-social adaptability,Kharkiv,,women,7.9
2018,psycho-social adaptability,Kharkiv,,women,
2019,psycho-social adaptability,Kharkiv,,women,
2020,psycho-social adaptability,Kharkiv,,women,
2021,psycho-social adaptability,Kharkiv,,women,
2022,psycho-social adaptability,Kharkiv,,women,
2023,psycho-social adaptability,Kharkiv,,women,
2017,reducing negative migration trends,Donetsk,,,
2018,reducing negative migration trends,Donetsk,,,
2019,reducing negative migration trends,Donetsk,,,
2020,reducing negative migration trends,Donetsk,,,
2021,reducing negative migration trends,Donetsk,,,
2022,reducing negative migration trends,Donetsk,,,
2023,reducing negative migration trends,Donetsk,,,
2017,reducing negative migration trends,Donetsk,18-35 years,,
2018,reducing negative migration trends,Donetsk,18-35 years,,5.5
2019,reducing negative migration trends,Donetsk,18-35 years,,
2020,reducing negative migration trends,Donetsk,18-35 years,,
2021,reducing negative migration trends,Donetsk,18-35 years,,
2022,reducing negative migration trends,Donetsk,18-35 years,,
2023,reducing negative migration trends,Donetsk,18-35 years,,
2017,reducing negative migration trends,Donetsk,36-60 years,,4.1
2018,reducing negative migration trends,Donetsk,36-60 years,,4.8
2019,reducing negative migration trends,Donetsk,36-60 years,,
2020,reducing negative migration trends,Donetsk,36-60 years,,
2021,reducing negative migration trends,Donetsk,36-59 years,,
2022,reducing negative migration trends,Donetsk,36-59 years,,
2023,reducing negative migration trends,Donetsk,36-59 years,,
2017,reducing negative migration trends,Donetsk,61 years and older,,3.3
2018,reducing negative migration trends,Donetsk,61 years and older,,3.8
2019,reducing negative migration trends,Donetsk,61 years and older,,
2020,reducing negative migration trends,Donetsk,61 years and older,,
2021,reducing negative migration trends,Donetsk,60 years and older,,
2022,reducing negative migration trends,Donetsk,60 years and older,,
2023,reducing negative migration trends,Donetsk,60 years and older,,
2017,reducing negative migration trends,Donetsk,,men,4.2
2018,reducing negative migration trends,Donetsk,,men,4.9
2019,reducing negative migration trends,Donetsk,,men,
2020,reducing negative migration trends,Donetsk,,men,
2021,reducing negative migration trends,Donetsk,,men,
2022,reducing negative migration trends,Donetsk,,men,
2023,reducing negative migration trends,Donetsk,,men,
2017,reducing negative migration trends,Donetsk,,women,4.2
2018,reducing negative migration trends,Donetsk,,women,4.6
2019,reducing negative migration trends,Donetsk,,women,
2020,reducing negative migration trends,Donetsk,,women,
2021,reducing negative migration trends,Donetsk,,women,
2022,reducing negative migration trends,Donetsk,,women,
2023,reducing negative migration trends,Donetsk,,women,
2017,reducing negative migration trends,Luhansk,,,
2018,reducing negative migration trends,Luhansk,,,
2019,reducing negative migration trends,Luhansk,,,
2020,reducing negative migration trends,Luhansk,,,
2021,reducing negative migration trends,Luhansk,,,
2022,reducing negative migration trends,Luhansk,,,
2023,reducing negative migration trends,Luhansk,,,
2017,reducing negative migration trends,Luhansk,18-35 years,,5.4
2018,reducing negative migration trends,Luhansk,18-35 years,,6.1
2019,reducing negative migration trends,Luhansk,18-35 years,,
2020,reducing negative migration trends,Luhansk,18-35 years,,
2021,reducing negative migration trends,Luhansk,18-35 years,,
2022,reducing negative migration trends,Luhansk,18-35 years,,
2023,reducing negative migration trends,Luhansk,18-35 years,,
2017,reducing negative migration trends,Luhansk,36-60 years,,4.4
2018,reducing negative migration trends,Luhansk,36-60 years,,5.4
2019,reducing negative migration trends,Luhansk,36-60 years,,
2020,reducing negative migration trends,Luhansk,36-60 years,,
2021,reducing negative migration trends,Luhansk,36-59 years,,
2022,reducing negative migration trends,Luhansk,36-59 years,,
2023,reducing negative migration trends,Luhansk,36-59 years,,
2017,reducing negative migration trends,Luhansk,61 years and older,,3.5
2018,reducing negative migration trends,Luhansk,61 years and older,,4.3
2019,reducing negative migration trends,Luhansk,61 years and older,,
2020,reducing negative migration trends,Luhansk,61 years and older,,
2021,reducing negative migration trends,Luhansk,60 years and older,,
2022,reducing negative migration trends,Luhansk,60 years and older,,
2023,reducing negative migration trends,Luhansk,60 years and older,,
2017,reducing negative migration trends,Luhansk,,men,4.4
2018,reducing negative migration trends,Luhansk,,men,5.3
2019,reducing negative migration trends,Luhansk,,men,
